"x"
"1","X54149..growth.arrest.and.DNA.damage.inducible..beta"
"2","AV138783.."
"3","V00727..C.FOS"
"4","AI848851..hypothetical.protein.MGC2827"
"5","AI552922..Homo.sapiens..clone.MGC.23971.IMAGE.4714217..mRNA..complete.cds."
"6","X68273..CD68.antigen"
"7","AB028272..DnaJ..Hsp40..homolog..subfamily.B..member.1"
"8","U35623..myeloid.cell.leukemia.sequence.1..BCL2.related."
"9","AA615100.."
"10","U88328..STAT.induced.STAT.inhibitor.3"
"11","AI047076..fidgetin.like.1"
"12","AW122337..ring.box.1"
"13","AW046181..Serum.glucocorticoid.regulated.kinase..SGK."
"14","U00937..growth.arrest.and.DNA.damage.inducible..alpha"
"15","AI837010..pumilio..Drosophila..homolog.2"
"16","AW122731..diaphorase..NADH...cytochrome.b.5.reductase."
"17","AI847051..CDK4.binding.protein.p34SEI1"
"18","X74856..ribosomal.protein.L28"
"19","AI841579.."
"20","AW124204..exosome.component.Rrp46"
"21","AW047866.."
"22","AW050078..leukocyte.receptor.cluster..LRC..member.5"
"23","U57524..nuclear.factor.of.kappa.light.polypeptide.gene.enhancer.in.B.cells.inhibitor..alpha"
"24","AI837395..seryl.tRNA.synthetase"
"25","M22998..Glucose.transporter.type.1..erythrocyte.brain."
"26","AF055638..growth.arrest.and.DNA.damage.inducible..gamma"
"27","AW060250.."
"28","M37030..Homo.sapiens.serologically.defined.breast.cancer.antigen.NY.BR.24.gene..partial.cds."
"29","AW121333..translocase.of.inner.mitochondrial.membrane.13..yeast..homolog.A"
"30","X75316..seb4D"
"31","AA832935.."
"32","AI843521..hypothetical.protein.MGC1936..MGC1936...mRNA."
"33","AF088911..Serine.threonine.protein.phosphatase.4..Protein.phosphatase.X."
"34","AI181308..Homo.sapiens.HSPC262.mRNA..partial.cds."
"35","AI846182..HIPR_HUMAN....HUNTINGTIN.INTERACTING.PROTEIN.1.RELATED..HIP1.RELATED...HIP.12.."
"36","AF039405..arsA..bacterial..arsenite.transporter..ATP.binding..homolog.1"
"37","AI842326.."
"38","U22399..cyclin.dependent.kinase.inhibitor.1C..p57..Kip2."
"39","L40934..Rab.acceptor.1..prenylated."
"40","D76432..transcription.factor.8..represses.interleukin.2.expression."
"41","AI848871..NADH.dehydrogenase..ubiquinone..1.beta.subcomplex..10..22kD..PDSW."
"42","X57687..lymphoblastic.leukemia.derived.sequence.1"
"43","L15435..tumor.necrosis.factor..ligand..superfamily..member.9"
"44","AW122542..tyrosyl.tRNA.synthetase"
"45","AW123342..HSPC142.protein"
"46","AI854043..putative.GTP.binding.protein.similar.to.RAY.RAB1C"
"47","C76063.."
"48","AW124744..HSPC009.protein"
"49","AI848107.."
"50","AW123269..anillin..Drosophila.Scraps.homolog...actin.binding.protein"
"51","AF005036..secretory.carrier.membrane.protein.3"
"52","AI842242..hypothetical.protein.FLJ12598"
"53","D00472..cofilin.1..non.muscle."
"54","AF071315..COP9.subunit.6..MOV34.homolog..34.kD."
"55","AA867646..homolog.of.yeast.MCM10..hypothetical.protein.PRO2249"
"56","M31775..cytochrome.b.245..alpha.polypeptide"
"57","AW047185..Thimet.oligopeptidase..Endopeptidase.24.15."
"58","X51829..protein.phosphatase.1..regulatory..inhibitor..subunit.15A"
"59","AI852725..COP9..constitutive.photomorphogenic..Arabidopsis..homolog..subunit.7A"
"60","AW121217..Homo.sapiens.partial.mRNA.for.transport.secretion.protein.2.2...TTS.2.2.gene.."
"61","AF026124..Phospholipase.D.homologue.11000567083112..celera."
"62","AB012727..Homo.sapiens..clone.MGC.15887.IMAGE.3530481..mRNA..complete.cds."
"63","AB025349..Breakpoint.cluster.region.protein..uterine.leiomyoma..1..barrier.to.autointegration.factor"
"64","AI850893..general.transcription.factor.IIIA"
"65","AW122732..Down.syndrome.critical.region.gene.2"
"66","AF030169..unc119..C.elegans..homolog"
"67","AI844357..immature.colon.carcinoma.transcript.1"
"68","AW060684.."
"69","AI847056..neural.precursor.cell.expressed..developmentally.down.regulated.8"
"70","AF080469..Glucose.6.phosphate.transporter..G6PT."
"71","U18372..CD37.antigen"
"72","Z72486..polymerase..DNA.directed...delta.2..regulatory.subunit..50kD."
"73","AF028722..hypothetical.protein.FLJ20189"
"74","AW211207..CGI.18.protein"
"75","AW048446..hypothetical.protein.FLJ20550"
"76","L11316..hypothetical.protein.FLJ10461"
"77","AW125498..Rho.GDP.dissociation.inhibitor..GDI..alpha"
"78","AW124972.."
"79","AW047399..hypothetical.protein.FLJ20312"
"80","X75927..ATP.binding.cassette.transporter.2..ABCA2...KIAA1062...fragment."
"81","U20735..jun.B.proto.oncogene"
"82","AF004927..Sigma.opioid.receptor.type.I"
"83","AI844359..hypothetical.protein.FLJ22059"
"84","AI848699.."
"85","AI854876..double.C2.like.domains..alpha"
"86","AI853960.."
"87","AI848730..hypothetical.protein.MGC4549"
"88","AW122332.."
"89","AA982714..Beta.adrenergic.receptor.kinase.1..ARK.1...GRK2."
"90","AI842600..hypothetical.protein.MGC5627"
"91","AW045596..Homo.sapiens.mRNA.for.KIAA1483.protein..partial.cds."
"92","U93050..poly.A..binding.protein..nuclear.1"
"93","AW050056..hypothetical.protein.FLJ22059"
"94","Y11905..B.cell.CLL.lymphoma.7C"
"95","AI854235..hypothetical.protein.MGC5627"
"96","AI846994..hypothetical.protein.MGC2479"
"97","X61399..macrophage.myristoylated.alanine.rich.C.kinase.substrate"
"98","AW121613..hypothetical.protein.GL009"
"99","Y11460..integrin.beta.4.binding.protein"
"100","AF091432..cyclin.E2"
"101","AI265210..zinc.finger.protein.297"
"102","AI852553..thymosin..beta.10"
"103","AI844999..divalent.cation.tolerant.protein.CUTA"
"104","X63440..Protein.tyrosine.phosphatase.G1..PTP.PEST."
"105","AW125510..Homo.sapiens..clone.IMAGE.3898275..mRNA..partial.cds."
"106","AI648925..dTDP.D.glucose.4.6.dehydratase"
"107","U88325..JAK.binding.protein"
"108","AI852829..megakaryoblastic.leukemia..translocation..1"
"109","AA615853..hypothetical.protein.MGC14833"
"110","AI842328.."
"111","U37799..CD36.antigen..collagen.type.I.receptor..thrombospondin.receptor..like.1"
"112","AA760339..disrupter.of.silencing.10"
"113","AW121767..hypothetical.protein.MGC13186"
"114","AW049387..ADP.ribosylation.factor.like.2"
"115","D43643..transcription.factor.like.1"
"116","AV244043.."
"117","AA623379.."
"118","AI854602.."
"119","X61172..Alpha.mannosidase.II"
"120","U79962..TAR..HIV..RNA.binding.protein.2"
"121","AV049751.."
"122","AW125378..angio.associated..migratory.cell.protein"
"123","AW060179.."
"124","AB021743..Protein.phosphatase.2A.65.kDa.regulatory.subunit.alpha"
"125","AF109906.."
"126","AI849566.."
"127","AW121180.."
"128","AI845854..KIAA0632.protein"
"129","AW121992.."
"130","Y17808..A6.related.protein"
"131","AF110520.."
"132","AI844250..hypothetical.protein.MGC3181"
"133","D10627.."
"134","AI848841.."
"135","AF013490..Protein.tyrosine.phosphatase.MEG2"
"136","AI846060..likely.ortholog.of.mouse.zinc.finger.protein.Zfr"
"137","AV218217..Mitochondrial.citrate.transporter.protein"
"138","AW060324..double.C2.like.domains..alpha"
"139","AI851810..NADH.dehydrogenase..ubiquinone..1.beta.subcomplex..7..18kD..B18."
"140","AI847162..myo.inositol.1.phosphate.synthase.A1"
"141","D78382..transducer.of.ERBB2..1"
"142","AA710907..hypothetical.protein.MGC3196"
"143","AI838576.."
"144","X78682..prohibitin"
"145","AW123271..DKFZP564O243.protein"
"146","AI853575..mitochondrial.ribosomal.protein.S2"
"147","AW125294.."
"148","AI788018..Homo.sapiens..clone.IMAGE.3461987..mRNA..partial.cds."
"149","AI835392.."
"150","D84096..Ubiquitin.carboxyl.terminal.hydrolase.14"
"151","AF041060.."
"152","AW120727.."
"153","AI836883..ADME..Carboxylesterase.homologue.3538709CD1"
"154","AA981154.."
"155","AA790056.."
"156","AI839522..hypothetical.protein.MGC4293"
"157","AV305832.."
"158","AI840094.."
"159","AV115284..Mitogen.activated.protein.kinase.kinase.kinase.11..MAP3K11...Mixed.lineage.kinase.3."
"160","U00978..IMP.dehydrogenase.type.1"
"161","AI840035.."
"162","AW122271..hypothetical.protein.FLJ12442"
"163","AI854851.."
"164","AI847650..HT002.protein..hypertension.related.calcium.regulated.gene"
