"Cis 3 ugml"	"Cis 10 ugml"	"Cis 30 ugml"	"NaCl"	"Cis Linear"	"Cis Quadratic"
"X54149..growth.arrest.and.DNA.damage.inducible..beta"	0.180317952131746	1.23528999651782	2.18763840089539	0.213089902501780	0.0753382467539488	0.145843146521423
"AV138783.."	0.422277358884805	2.64705610918474	3.85874627428358	0.490770569770044	0.13442594662112	0.32893911351554
"V00727..C.FOS"	0.125330478845657	1.01593209840267	2.27203328960246	0.297057183456844	0.0779127755472245	0.113157698362963
"AI848851..hypothetical.protein.MGC2827"	0.0131284534361484	0.426394231256075	0.771424813019419	0.00640980986242394	0.026500753594712	0.0471732285812924
"AI552922..Homo.sapiens..clone.MGC.23971.IMAGE.4714217..mRNA..complete.cds."	0.0314210948753788	-0.0949598806580256	-0.461187268526236	-0.550911357404227	-0.0159591460638181	-0.00669924654968111
"X68273..CD68.antigen"	0.0345951649472058	0.224274719859566	0.917666177055715	0.0506399651038856	0.0306879379580119	0.0177685228508543
"AB028272..DnaJ..Hsp40..homolog..subfamily.B..member.1"	0.87124245080797	1.8263003948181	1.20760714130806	-0.489184421720781	0.0414407478384635	0.264808251001040
"U35623..myeloid.cell.leukemia.sequence.1..BCL2.related."	0.491811515151987	1.60971570102224	0.966960632831338	1.10980174211683	0.0335392417152855	0.22081136318186
"AA615100.."	0.285290820011110	1.05396475166728	0.248309431207350	1.25174004307157	0.00892356399695022	0.146774411624896
"U88328..STAT.induced.STAT.inhibitor.3"	-0.0152563415670103	0.226899085511662	-0.129424042348769	0.666983441096874	-0.00345460374164557	0.0334585568823676
"AI047076..fidgetin.like.1"	-0.118474060940003	-0.40572144044133	-0.782610244366898	-1.24345951323858	-0.0275033799853336	-0.0533906089961336
"AW122337..ring.box.1"	0.247135201880642	0.861615657585166	0.820026229809207	0.254704927179062	0.0281764854444024	0.113874848241388
"AW046181..Serum.glucocorticoid.regulated.kinase..SGK."	-0.103812584638041	0.290800008723525	0.955506007969238	0.271216918737582	0.0330831780188175	0.0235472476644851
"U00937..growth.arrest.and.DNA.damage.inducible..alpha"	0.196298405946305	1.41027949438383	1.81862081917973	0.733870467993167	0.0643217207896495	0.179952853968636
"AI837010..pumilio..Drosophila..homolog.2"	-0.0252598980003990	-0.163508805221524	-0.904718152422347	0.0761332864750301	-0.0303394164132494	-0.0102790333809199
"AW122731..diaphorase..NADH...cytochrome.b.5.reductase."	-0.0829058542787642	0.119878139775346	0.152759067910482	0.128452653788914	0.0053958352200625	0.00977672106302275
"AI847051..CDK4.binding.protein.p34SEI1"	0.144080889655133	1.00423706746567	1.52053358691309	0.59467487105656	0.0548284447037371	0.132803884299655
"X74856..ribosomal.protein.L28"	0.095659795538572	0.215880972238431	0.128573697041667	0.100322446724492	0.00370696047345958	0.0275114531955977
"AI841579.."	0.218642021196488	0.697931498126393	0.467176593276368	-0.098372832173146	0.0169666168224993	0.0994993770012524
"AW124204..exosome.component.Rrp46"	-0.0840663986245481	0.0504143378467707	0.333972456591216	0.135443489810312	0.00957243843216633	-0.0106947437018645
"AW047866.."	-0.00460436484377211	0.135594718668054	-0.437347134042782	-0.849554052273478	-0.0151207111485618	0.0199107834059528
"AW050078..leukocyte.receptor.cluster..LRC..member.5"	0.0369106668964532	0.177282935094094	0.103404244806782	-0.221559258714376	0.00320841032226784	0.0215058032599544
"U57524..nuclear.factor.of.kappa.light.polypeptide.gene.enhancer.in.B.cells.inhibitor..alpha"	0.0876014562673645	0.204107802727481	0.00758504856767356	0.640062608087077	0.00118891512195915	0.0347991059903075
"AI837395..seryl.tRNA.synthetase"	-0.0663337510518132	0.216126795827683	0.529588717942594	0.372740058225563	0.0172840321706617	0.0141684044914053
"M22998..Glucose.transporter.type.1..erythrocyte.brain."	-0.143289235642104	-0.0431571812657934	0.0477857919823635	1.18089948120101	0.00506631847940188	0.00336587635898410
"AF055638..growth.arrest.and.DNA.damage.inducible..gamma"	0.0665086052408055	0.326408635506492	1.42732623387936	0.189499424548097	0.0483119133988336	0.0284343052805692
"AW060250.."	0.176094704902897	0.220238171465798	-0.768009066892804	-1.02011830082758	-0.0241706287263802	0.0547557059154061
"M37030..Homo.sapiens.serologically.defined.breast.cancer.antigen.NY.BR.24.gene..partial.cds."	-0.114899419229980	0.0680548213062589	0.0209517703103403	0.142703614824561	0.000948126989222966	0.00309428256809866
"AW121333..translocase.of.inner.mitochondrial.membrane.13..yeast..homolog.A"	-0.125575926208103	0.107983876353712	0.519434159989383	0.160979570873607	0.0168798429546960	-0.00275047791541726
"X75316..seb4D"	-0.0326345555480916	0.328109031085597	0.181901258232685	0.664137054576573	0.00460771594056005	0.0293149326034741
"AA832935.."	-0.00774786357360407	-0.602869064906341	-1.50073562415865	-0.25463147690241	-0.0512869689987835	-0.0612392562463575
"AI843521..hypothetical.protein.MGC1936..MGC1936...mRNA."	-0.0646638496626445	0.180117029903622	0.479448929450884	-0.0282771056295524	0.0155618568407937	0.0102099829105211
"AF088911..Serine.threonine.protein.phosphatase.4..Protein.phosphatase.X."	0.0291188250433588	0.366546948203543	0.100594256110148	-0.0560589676589341	0.00283355834551425	0.043278566394715
"AI181308..Homo.sapiens.HSPC262.mRNA..partial.cds."	-0.079977921266234	0.13616463887324	0.113619885272924	-0.1110676967104	0.00296117112952277	0.00687517865557099
"AI846182..HIPR_HUMAN....HUNTINGTIN.INTERACTING.PROTEIN.1.RELATED..HIP1.RELATED...HIP.12.."	-0.0313839850605505	-0.0677769158308498	-0.0291525962175248	0.229087052500830	-0.00115462821233831	-0.0106805651500563
"AF039405..arsA..bacterial..arsenite.transporter..ATP.binding..homolog.1"	0.0541485257044621	0.230554486100642	0.271661577652571	0.0834310547506176	0.00742194763381592	0.0198410702933993
"AI842326.."	0.029719126056838	-0.420908293266465	-1.3136526976711	-0.209988250071934	-0.0445673417994369	-0.0366708827320917
"U22399..cyclin.dependent.kinase.inhibitor.1C..p57..Kip2."	-0.0376917829412142	0.214051023815169	0.192951555560415	1.16166313593246	0.0066693348860077	0.0231148520462105
"L40934..Rab.acceptor.1..prenylated."	0.274278102638778	0.375008913497438	0.362074235005916	0.169287228215614	0.0104057160143278	0.0485775768115938
"D76432..transcription.factor.8..represses.interleukin.2.expression."	-0.246409064554375	-0.581369571500697	-0.422688725453749	-0.327489502891583	-0.0145069692923561	-0.0822638868782605
"AI848871..NADH.dehydrogenase..ubiquinone..1.beta.subcomplex..10..22kD..PDSW."	0.133568379385929	0.239726909212296	0.365927285275339	0.090185358149521	0.0106719912371870	0.0246094980426201
"X57687..lymphoblastic.leukemia.derived.sequence.1"	-0.769609284542246	-1.56741894417006	-1.38953030279302	-1.39536956694454	-0.0461017120617521	-0.217497781199539
"L15435..tumor.necrosis.factor..ligand..superfamily..member.9"	0.201255273442461	0.606650344706493	0.271629249790409	0.0580418002498696	0.00997782835589195	0.087508555297055
